gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
72142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.578544061302682	0.0	0.0	0.0	0.0	0.0
72145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6090909090909091	0.6121212121212121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8072289156626506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5429042904290429	1.6842105263157894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48058252427184467	0.0	0.0
72151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9781704781704782	0.0	0.0	0.8169734151329243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7259786476868327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6124818577648767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7048665620094191	0.0	0.0
72155	0.0	0.0	0.0	0.12466124661246612	0.0	0.0	0.0	0.0	0.44986449864498645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06233062330623306	0.5989159891598916	0.0	0.0
72156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6041666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9100850546780073	1.2786069651741294	0.0	0.0	0.3701492537313433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8791469194312796	0.8378378378378378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4861111111111112	1.0424143556280587	0.0	0.0	0.5347222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0658627087198516	1.1413828689370484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8095238095238095	0.0	0.0	0.0	1.0692640692640694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8268398268398268	0.6493506493506493	0.8614718614718615	0.0	0.0	0.0
72162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1122565864833907	1.6488946684005201	0.0	0.18736383442265794	0.7265795206971678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5561035758323057	0.9618736383442266	0.0	0.0
72163	0.0	0.0	0.5071225071225072	0.0	0.0	0.0	0.0	0.0	1.6381766381766383	0.0	0.4985754985754986	1.6353276353276354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7416267942583732	0.0	2.6267806267806266	0.2222222222222222	0.0	0.0
72164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8624161073825504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9753521126760564	0.0	0.0	0.0
72165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0269627279936557	1.185701830863121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693126022913257	0.0	0.5985185185185186	0.0	0.0	0.0
72166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6608015640273704	1.69375	0.0	0.4232649071358749	0.20039100684261973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47214076246334313	0.0	0.635386119257087	1.2932551319648093	0.0	0.0
72167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1770491803278689	1.2572115384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1003271537622683	1.314508276533593	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.760989010989011	0.0	0.0	1.3168498168498168	0.0	0.0
72169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6415410385259631	1.2948073701842546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5639412997903563	0.0	0.9262981574539364	1.1996527777777777	0.0	0.0
72170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7435897435897436	3.1510416666666665	0.0	0.0	0.7337278106508875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32938856015779094	0.0	0.0	0.0	0.0	0.0
